Ingredient,Calories,Protein,Carbs,Fat,Fiber
Paneer,265,18.3,6.1,20.8,0.0
Butter,717,0.8,0.1,81.1,0.0
Tomato,18,0.9,3.9,0.2,1.2
Onion,40,1.1,9.3,0.1,1.7
Cream,345,2.5,2.9,37.0,0.0
Dal,343,25.0,58.0,1.5,10.0
Garlic,149,6.4,33.1,0.5,2.1
Cumin,375,17.8,44.2,22.3,10.5
Chickpeas,164,8.9,27.4,2.6,7.6
Garam Masala,350,14.0,58.0,12.0,27.0
Oil,884,0.0,0.0,100.0,0.0
Potato,77,2.0,17.0,0.1,2.2
Cauliflower,25,1.9,5.0,0.3,2.0
Turmeric,312,9.7,67.1,3.3,22.7
Rice,130,2.7,28.0,0.3,0.4
Carrot,41,0.9,10.0,0.2,2.8
Green Peas,81,5.4,14.5,0.4,5.1
